"","mean_bandwith_task1","V2","mean_loss_task1","mean_loss_task2","mean_loss_task3","mean_loss_task4","mean_loss_task5","mean_loss_task6"
"1",0.01,-4.60517018598809,-0.658801789473129,-0.491101284008296,-0.412966770726242,-0.784905100627415,-0.152498108852869,-1.11149889407761
"2",0.325263157894737,-1.12312070769684,-0.268697571319389,-0.109598823602884,-0.0460605702260361,-0.40150154054714,-0.0538114762839033,-0.0475755202227542
"3",0.640526315789474,-0.445465072167005,-0.259956507248561,-0.102980982267026,-0.0429678791535461,-0.309294904172154,-0.0498622509860441,-0.0388006253940304
"4",0.955789473684211,-0.0452176059932932,-0.249473184777772,-0.09874474834272,-0.0419679583014494,-0.247597794899595,-0.0476169919718363,-0.0379560518229916
"5",1.27105263157895,0.239845400932141,-0.23468197212342,-0.0935701904405805,-0.0413785666269209,-0.219292980505915,-0.0459037993262603,-0.0375343368861241
"6",1.58631578947368,0.461414214031909,-0.217495319712413,-0.0876586485261284,-0.0409002503707101,-0.202703505181096,-0.0444867906795353,-0.0372337709777257
"7",1.90157894736842,0.642684565993108,-0.200055162300575,-0.0815485812798966,-0.040480260900427,-0.188535449381635,-0.0432071864846733,-0.0369887984447673
"8",2.21684210526316,0.796083708099334,-0.183612118583836,-0.0757264880036542,-0.0400956475642991,-0.175057972085297,-0.041984618440418,-0.0367788359887208
"9",2.53210526315789,0.929051076544922,-0.168692081286086,-0.0705319720299852,-0.0397285911367864,-0.162355518064208,-0.0407900909120921,-0.036589386871308
"10",2.84736842105263,1.046395206686,-0.155407284797193,-0.0661299627553586,-0.0393675717466165,-0.150655381121296,-0.0396188832634552,-0.0364087982249038
"11",3.16263157894737,1.1514044591794,-0.143674276164112,-0.0625382166501633,-0.0390067003033844,-0.140050614747608,-0.0384766075637848,-0.0362294643740498
"12",3.47789473684211,1.24642715004628,-0.133334163296992,-0.0596790522843464,-0.0386434412963891,-0.13052251677262,-0.0373728211727443,-0.0360474618249138
"13",3.79315789473684,1.33319888976991,-0.124211240853375,-0.0574289582596906,-0.0382768061546064,-0.121993308583344,-0.0363175821234918,-0.035861207298979
"14",4.10842105263158,1.41303878258603,-0.116138694230688,-0.0556544034760819,-0.0379063779178749,-0.114362300036653,-0.0353194873914769,-0.0356702003283987
"15",4.42368421052632,1.48697288068818,-0.108968117897636,-0.0542327164028783,-0.0375318859153663,-0.107525601683644,-0.0343847733320914,-0.0354742541366377
"16",4.73894736842105,1.55581503687209,-0.102571562206906,-0.0530614588156997,-0.0371530656790714,-0.101385504996153,-0.0335171315029594,-0.0352731614783253
"17",5.05421052631579,1.62022166348344,-0.0968403998920193,-0.0520605112458237,-0.0367696555237778,-0.0958542133706587,-0.0327179089605325,-0.0350666127860473
"18",5.36947368421053,1.68072989332834,-0.0916830447090043,-0.0511702848662004,-0.0363814511494914,-0.0908547142007984,-0.0319864625416031,-0.0348542203166902
"19",5.68473684210526,1.73778483626394,-0.0870224429220922,-0.0503483281222799,-0.0359883727482939,-0.0863203122437266,-0.0313205468692217,-0.0346355700204932
"20",6,1.79175946922805,-0.0827937240547339,-0.0495656286861337,-0.0355905182624171,-0.0821936134786558,-0.0307166878620084,-0.0344102703252135
